_enableFlag	_enableValue	_bookId	_name	_bookNum	_languageOfFlower	_secondSceneOpenFlag	_secondDateSceneOpenFlag	_heartFlag	0x9	0xa	_deleteFlag	0xc
1		1	サルビア	1	家族愛、燃える想い	0	0	0	2014-09-16 00:00:00	2014-09-24 00:00:00	0	2014-09-24 00:00:00
1		2	ホワイトパンジー	2	温順	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		3	イエローパンジー	3	慎ましい幸せ	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		4	パープルパンジー	4	思慮深い	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		5	ツバキ	5	謙遜、理想の愛	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		6	ブラックバッカラ	6	憎しみ、恨み	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		7	ロイヤルプリンセス	7	尊敬、無邪気	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		8	ノヴァーリス	8	神の祝福、不可能、奇跡	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		9	アルストロメリア	9	未来への憧れ、機敏	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		10	オンシジューム	10	美しい瞳、一緒に踊って	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		11	シンビジューム	11	誠実な愛情、深窓の麗人	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		12	デンドロビウム	12	天性の華、わがままな美人	1	0	0	2014-09-16 00:00:00	2014-12-09 00:00:00	0	2014-12-09 00:00:00
1		13	カトレア	13	魔力、成熟した魅力	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		14	ハイビスカス	14	常に新しい美、華やか	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		15	クレナイ	15	浮気、移り気、切実な愛	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		16	アジサイ	16	高慢、美しいが冷淡	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		17	グラジオラス	17	用意周到、努力、勝利	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		18	キキョウ	18	変わらぬ愛、従順、誠実	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		19	ヒマワリ	19	光輝、私の目は貴方だけを見つめる	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		20	レッドジンジャー	20	1日だけの恋	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		21	スイレン	21	清純な心、信頼、信仰	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		22	アカバナスイレン	22	遠ざかった愛、滅亡	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		23	イブキトラノオ	23	洗練	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		24	ヒルガオ	24	絆、優しい愛情	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		25	ヨルガオ	25	夜、逆境を克服する力	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		26	アサガオ	26	愛情、結束	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		27	カサブランカ	27	威厳、高貴	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		28	ヤマユリ	28	荘厳、純潔	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		29	オトメユリ	29	純潔、私の心の姿	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		30	アブラナ	30	快活な愛、競争	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		31	セントポーリア	31	親しみ深い、小さな愛、他	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		32	マーガレット	32	恋を占う、真実の友情	0	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		33	サボテン	33	燃える心、内気な乙女	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		34	スズラン	34	純粋、幸福が帰る	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
1		35	スミレ	35	小さな幸せ、誠実	1	0	0	2014-09-16 00:00:00	2014-09-16 00:00:00	0	2014-09-16 00:00:00
