1	1	体験版カラクリ無限城	期間：9月14日～10月12日メンテナンス前まで	次回予定：未定	"2020-09-14 04:00:00"	"2020-10-12 14:00:00"	test	"2020-09-14 04:00:00"	"2020-10-12 14:00:00"	
2	2	第1回カラクリ無限城	期間：11月9日～11月24日メンテナンス前まで	次回予定：11月30日～12月14日メンテナンス前まで	"2020-10-27 04:00:00"	"2020-11-24 14:00:00"	test	"2020-10-27 04:00:00"	"2020-11-24 14:00:00"	
3	3	第2回カラクリ無限城	期間：11月30日～12月14日メンテナンス前まで	次回予定：12月21日～1月4日メンテナンス前まで	"2020-11-25 04:00:00"	"2020-12-14 14:00:00"	test	"2020-11-25 04:00:00"	"2020-12-14 14:00:00"	
4	4	第3回カラクリ無限城	期間：12月21日～1月4日メンテナンス前まで	次回予定：1月18日～2月1日メンテナンス前まで	"2020-12-14 15:00:00"	"2021-01-04 17:00:00"	test	"2020-12-14 15:00:00"	"2021-01-04 17:00:00"	
5	5	第4回カラクリ無限城	期間：1月18日～2月1日メンテナンス前まで	次回予定：2月15日～3月1日メンテナンス前まで	"2021-01-14 15:00:00"	"2021-02-01 14:00:00"	test	"2021-01-14 15:00:00"	"2021-02-01 14:00:00"	
6	6	第5回カラクリ無限城	期間：2月15日～3月1日メンテナンス前まで	次回予定：3月15日～3月29日メンテナンス前まで	"2021-02-09 00:00:00"	"2021-03-01 14:00:00"	test	"2021-02-09 00:00:00"	"2021-03-01 14:00:00"	
7	7	第6回カラクリ無限城	期間：3月15日～3月29日メンテナンス前まで	次回予定：4月26日～5月10日メンテナンス前まで	"2021-03-08 00:00:00"	"2021-03-29 14:00:00"	test	"2021-03-08 00:00:00"	"2021-03-29 14:00:00"	
8	8	第7回カラクリ無限城	期間：4月26日～5月10日メンテナンス前まで	次回予定：5月24日～6月7日メンテナンス前まで	"2021-04-20 00:00:00"	"2021-05-10 14:30:00"	test	"2021-04-20 00:00:00"	"2021-05-10 14:30:00"	
9	9	第8回カラクリ無限城	期間：5月24日～6月7日メンテナンス前まで	次回予定：7月5日～7月19日メンテナンス前まで	"2021-05-18 00:00:00"	"2021-06-07 14:30:00"	test	"2021-05-18 00:00:00"	"2021-06-07 14:30:00"	
10	10	第9回カラクリ無限城	期間：7月5日～7月19日メンテナンス前まで	次回予定：8月10日～8月23日メンテナンス前まで	"2021-06-30 00:00:00"	"2021-07-19 14:30:00"	test	"2021-06-30 00:00:00"	"2021-07-19 14:30:00"	
11	11	第10回カラクリ無限城	期間：8月10日～8月23日メンテナンス前まで	次回予定：9月27日～10月11日メンテナンス前まで	"2021-08-03 00:00:00"	"2021-08-23 14:30:00"	test	"2021-08-03 00:00:00"	"2021-08-23 14:30:00"	
12	12	第11回カラクリ無限城	期間：9月27日～10月11日メンテナンス前まで	次回予定：11月8日～11月22日メンテナンス前まで	"2021-09-21 00:00:00"	"2021-10-11 14:30:00"	test	"2021-09-21 00:00:00"	"2021-10-11 14:30:00"	
13	13	第12回カラクリ無限城	期間：11月8日～11月22日メンテナンス前まで	次回予定：12月13日～12月27日メンテナンス前まで	"2021-11-02 00:00:00"	"2021-11-22 14:30:00"	test	"2021-09-21 00:00:00"	"2021-11-22 14:30:00"	
14	14	第13回カラクリ無限城	期間：12月13日～12月27日メンテナンス前まで	次回予定：1月24日～2月7日メンテナンス前まで	"2021-12-09 00:00:00"	"2021-12-27 14:30:00"	test	"2021-12-09 00:00:00"	"2021-12-27 14:30:00"	
15	15	第14回カラクリ無限城	期間：1月24日～2月7日メンテナンス前まで	次回予定：2月21日～3月7日メンテナンス前まで	"2022-01-19 00:00:00"	"2022-02-07 14:30:00"	test	"2022-01-19 00:00:00"	"2022-02-07 14:30:00"	
16	16	第15回カラクリ無限城	期間：2月21日～3月7日メンテナンス前まで	次回予定：4月4日～4月18日メンテナンス前まで	"2022-02-21 00:00:00"	"2022-03-07 14:30:00"	test	"2022-02-21 00:00:00"	"2022-03-07 14:30:00"	
17	17	第15回カラクリ無限城	期間：4月4日～4月18日メンテナンス前まで	次回予定：5月23日～6月6日メンテナンス前まで	"2022-04-04 00:00:00"	"2022-04-18 14:30:00"	test	"2022-04-04 00:00:00"	"2022-04-18 14:30:00"	
18	18	第17回カラクリ無限城	期間：5月23日～6月6日メンテナンス前まで	次回予定：未定	"2022-05-23 00:00:00"	"2022-06-06 14:30:00"	test	"2022-05-23 00:00:00"	"2022-06-06 14:30:00"	
