1	双璧の才華	"序章 Re:サクラとウメをクリア"	"序章 Re:サクラとウメをクリアした証。"	4	1	4	
2	湖畔に燃える心	"第1章 Re:サボテンをクリア"	"第1章 Re:サボテンをクリアした証。"	4	1	5	
3	プロテア様お守り隊	"第2章 Re:プロテア親衛隊をクリア"	"第2章 Re:プロテア親衛隊をクリアした証。"	4	1	6	
4	ズッ友ライフ！	"第3章 Re:ランタナとペポをクリア"	"第3章 Re:ランタナとペポをクリアした証。"	4	1	7	
5	妖怪！モフモフ狐	"第4章 Re:ヒガンバナをクリア"	"第4章 Re:ヒガンバナをクリアした証。"	4	1	8	
6	黒と紅の絆	"第5章 Re:クロユリとゼラニウムをクリア"	"第5章 Re:クロユリとゼラニウムをクリアした証。"	4	1	9	
7	希望を運ぶ者たち	"第6章 Re:アカシア隊をクリア"	"第6章 Re:アカシア隊をクリアした証。"	4	1	10	
8	魔女の会合	"第7章 Re:エニシダとアルテミシアをクリア"	"第7章 Re:エニシダとアルテミシアをクリアした証。"	4	1	11	
9	水鏡の五重奏	"第8章 Re:ハスとヒツジグサをクリア"	"第8章 Re:ハスとヒツジグサをクリアした証。"	4	1	12	
10	フォス平原の平定者	ヌシ討伐　激闘　フォス平原をクリア	ヌシ討伐　激闘　フォス平原をクリアした証。	5	1	15	
11	ヨーテホルクの平定者	ヌシ討伐　激闘　港都市　ヨーテホルクをクリア	ヌシ討伐　激闘　港都市　ヨーテホルクをクリアした証。	5	1	16	
12	旧フォス修練区の平定者	ヌシ討伐　激闘　旧フォス修練区をクリア	ヌシ討伐　激闘　旧フォス修練区をクリアした証。	5	1	17	
13	白百合街道の平定者	ヌシ討伐　激闘　白百合街道をクリア	ヌシ討伐　激闘　白百合街道をクリアした証。	5	1	18	
14	無垢なる森林区の平定者	ヌシ討伐　激闘　無垢なる森林区をクリア	ヌシ討伐　激闘　無垢なる森林区をクリアした証。	5	1	19	
15	富と誇りの遊歩道の平定者	ヌシ討伐　激闘　富と誇りの遊歩道をクリア	ヌシ討伐　激闘　富と誇りの遊歩道をクリアした証。	5	1	20	
16	ダイダイ灯台の平定者	ヌシ討伐　激闘　ダイダイ灯台をクリア	ヌシ討伐　激闘　ダイダイ灯台をクリアした証。	5	1	21	
17	マフル高原の平定者	ヌシ討伐　激闘　マフル高原をクリア	ヌシ討伐　激闘　マフル高原をクリアした証。	5	1	22	
18	実りの渓谷地帯の平定者	ヌシ討伐　激闘　実りの渓谷地帯をクリア	ヌシ討伐　激闘　実りの渓谷地帯をクリアした証。	5	1	23	
19	フヴァの氷結湖の平定者	ヌシ討伐　激闘　フヴァの氷結湖をクリア	ヌシ討伐　激闘　フヴァの氷結湖をクリアした証。	5	1	24	
20	母なる監獄島の解放者	Scene.3　監獄の母の追憶をクリア	Scene.3　監獄の母の追憶をクリアした証。	6	1	26	
21	監獄の底を制する者	Scene.2　監獄の底の追憶をクリア	Scene.2　監獄の底の追憶をクリアした証。	5	1	27	
22	監獄の地を制する者	Scene.1　監獄の地の追憶をクリア	Scene.1　監獄の地の追憶をクリアした証。	5	1	28	
23	追憶の救世主	賢人ラエヴァの追憶をクリア	賢人ラエヴァの追憶をクリアした証。	6	1	29	
24	新鋭団長	100日間ログインした	100日間ログインした証。	3	2	50	
25	熟練団長	300日ログインした	300日間ログインした証。	4	2	51	
26	俊傑団長	500日ログインした	500日間ログインした証。	5	2	52	
27	ナズナ団長	727日ログインした	727日間ログインした証。	6	727	53	
28	古豪団長	1000日ログインした	1000日間ログインした証。	6	2	54	
29	見習い団長	チュートリアルを終わらせた	チュートリアルを終わらせた証。	3	2	1	
30	一途な団長	1人の花騎士に一途に尽くす	1人の花騎士に一途に尽くした証。	6	2	55	
31	初心を忘れずに	"いずれか再復刻任務 5個コンプリート"	再復刻任務を5つコンプリートした証。	3	1	47	
32	思い出を大事に	"いずれか再復刻任務 10個コンプリート"	再復刻任務を10つコンプリートした証。	4	1	48	
33	たくさんの出会いを思い出に	"いずれか再復刻任務 50個コンプリート"	再復刻任務を50つコンプリートした証。	5	1	49	
34	千年前の脅威を封ぜし者	"メインストーリー第1部49-5 の勲章三報酬獲得"	メインストーリー第一部を完了した証。	5	1	2	
35	根源の世界に至りし者	"メインストーリー第2部9-5 の勲章三報酬獲得"	メインストーリー第二部を完了した証。	5	1	3	
36	レイドボス・ハンター	レイドボス討伐に合計10回参加する	レイドボスを撃破せし者の証。	3	1	56	
37	レイドボス・スレイヤー	レイドボス討伐に合計100回参加する	レイドボスを殺戮せし者の証。	4	1	57	
38	レイドボス・ジェノサイダー	レイドボス討伐に合計300回参加する	レイドボスを殲滅せし者の証。	5	1	58	
39	雪国に咲く剣と拳	"第9章 Re:デンドロビウムとブラックバッカラをクリア"	"第9章 Re:デンドロビウムとブラックバッカラをクリアした証。"	4	1	13	
40	古代華の脅威に対峙する者	コダイバナの脅威と対峙せよ！をクリア	コダイバナの脅威と対峙せよ！をクリア	4	1	30	
41	防衛基地跡の脅威に対峙する者	防衛基地跡に潜む脅威と対峙せよ！をクリア	防衛基地跡に潜む脅威と対峙せよ！をクリア	4	1	31	
42	座す脅威に対峙する者	英断の滝に座す脅威と対峙せよ！をクリア	英断の滝に座す脅威と対峙せよ！をクリア	4	1	32	
43	都市廃墟の脅威に対峙する者	都市廃墟の脅威と対峙せよ！をクリア	都市廃墟の脅威と対峙せよ！をクリア	4	1	33	
44	襲撃せし脅威に対峙する者	交易路跡を襲撃せし脅威と対峙せよ！をクリア	交易路跡を襲撃せし脅威と対峙せよ！をクリア	4	1	34	
45	闊歩する脅威に対峙する者	枯れた地を闊歩する脅威と対峙せよ！をクリア	枯れた地を闊歩する脅威と対峙せよ！をクリア	4	1	35	
46	滅びし都の脅威に対峙する者	滅びし都に潜む脅威と対峙せよ！をクリア	滅びし都に潜む脅威と対峙せよ！をクリア	4	1	36	
47	迫る脅威に対峙する者	侵されし国境へ迫る脅威と対峙せよ！をクリア	侵されし国境へ迫る脅威と対峙せよ！をクリア	4	1	37	
48	飛来せし脅威に対峙する者	渇き花より飛来せし脅威と対峙せよ！をクリア	渇き花より飛来せし脅威と対峙せよ！をクリア	4	1	38	
49	巣食う脅威に対峙する者	荒廃せし地に巣食う脅威と対峙せよ！をクリア	荒廃せし地に巣食う脅威と対峙せよ！をクリア	4	1	39	
50	集う脅威に対峙する者	不毛の地に集う脅威と対峙せよ！をクリア	不毛の地に集う脅威と対峙せよ！をクリア	4	1	40	
51	両手に花	"	花騎士2人以上の好感度・咲を100％にする"	"	花騎士2人以上の好感度・咲を100％にした証。"	3	2	59	
52	人望のある団長	花騎士10人以上の好感度を100％にする	花騎士10人以上の好感度を100％にした証。	4	2	60	
